Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,217484,University of Rhode Island,14264,0,0,5,0,0,0,0,0,0,2,20,36,3
2002,217484,University of Rhode Island,14180,0,0,2,0,0,0,0,0,1,3,72,6,8
2003,217484,University of Rhode Island,14791,0,0,2,0,0,0,0,0,2,2,37,8,4
2004,217484,University of Rhode Island,14749,0,0,15,0,0,0,0,0,3,2,53,7,4
2005,217484,University of Rhode Island,15095,0,0,16,0,0,0,0,0,1,1,29,1,2
2006,217484,University of Rhode Island,15062,0,0,19,0,0,0,0,0,0,2,36,8,1
2007,217484,University of Rhode Island,15650,0,0,9,0,0,0,0,0,1,3,26,4,1
2008,217484,University of Rhode Island,15904,0,0,10,0,0,0,0,0,2,0,29,8,2
2009,217484,University of Rhode Island,16389,0,0,14,0,0,0,0,0,4,0,20,1,1
2010,217484,University of Rhode Island,16294,0,0,9,0,0,0,0,0,3,0,19,3,2
2011,217484,University of Rhode Island,16317,0,0,17,0,0,1,0,0,1,3,50,2,1
2012,217484,University of Rhode Island,16451,0,0,11,0,0,0,0,0,3,4,67,3,0
2013,217484,University of Rhode Island,16387,0,0,6,0,0,0,0,0,2,1,56,2,1
2014,217484,University of Rhode Island,16571,0,0,0,3,0,0,0,0,0,2,26,0,0
