Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,217484,University of Rhode Island,14264,0,56,455
2002,217484,University of Rhode Island,14180,1,134,655
2003,217484,University of Rhode Island,14791,0,87,733
2004,217484,University of Rhode Island,14749,9,185,861
2005,217484,University of Rhode Island,15095,12,60,619
2006,217484,University of Rhode Island,15062,17,108,698
2007,217484,University of Rhode Island,15650,13,79,742
2008,217484,University of Rhode Island,15904,7,65,614
2009,217484,University of Rhode Island,16389,5,123,599
2010,217484,University of Rhode Island,16294,4,98,518
2011,217484,University of Rhode Island,16317,7,152,610
2012,217484,University of Rhode Island,16451,1,208,643
2013,217484,University of Rhode Island,16387,7,184,657
2014,217484,University of Rhode Island,16571,1,551,677
