Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,217484,University of Rhode Island,16571,6,12,14
2002,217484,University of Rhode Island,16571,6,12,14
2003,217484,University of Rhode Island,16571,6,12,14
2004,217484,University of Rhode Island,16571,6,12,14
2005,217484,University of Rhode Island,16571,6,12,14
2006,217484,University of Rhode Island,16571,6,12,14
2007,217484,University of Rhode Island,16571,6,12,14
2008,217484,University of Rhode Island,16571,6,12,14
2009,217484,University of Rhode Island,16571,6,12,14
2010,217484,University of Rhode Island,16571,6,12,14
2011,217484,University of Rhode Island,16571,6,12,14
2012,217484,University of Rhode Island,16571,6,12,14
2013,217484,University of Rhode Island,16571,6,12,14
2014,217484,University of Rhode Island,16571,6,12,14
