Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,217484,University of Rhode Island,14264,66,511,0,32,609
2002,217484,University of Rhode Island,14180,92,790,0,32,914
2003,217484,University of Rhode Island,14791,55,820,0,32,907
2004,217484,University of Rhode Island,14749,84,1055,0,32,1171
2005,217484,University of Rhode Island,15095,50,691,0,32,773
2006,217484,University of Rhode Island,15062,66,823,0,32,921
2007,217484,University of Rhode Island,15650,44,834,0,32,910
2008,217484,University of Rhode Island,15904,51,686,0,32,769
2009,217484,University of Rhode Island,16389,40,727,14,32,813
2010,217484,University of Rhode Island,16294,36,620,22,32,710
2011,217484,University of Rhode Island,16317,75,769,2,32,878
2012,217484,University of Rhode Island,16451,88,852,0,32,972
2013,217484,University of Rhode Island,16387,68,848,2,32,950
2014,217484,University of Rhode Island,16571,31,1229,34,32,1326
