Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2011,137032,Saint Leo University,15564,0,0,0
2012,137032,Saint Leo University,15986,0,0,0
2013,137032,Saint Leo University,16275,0,0,0
2014,137032,Saint Leo University,16349,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,15402,0,0,0
2002,179894,Webster University,17249,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,217819,College of Charleston,11617,5,28,117
2002,217819,College of Charleston,11716,1,27,120
2003,217819,College of Charleston,11536,1,21,159
2004,217819,College of Charleston,11607,1,63,192
2005,217819,College of Charleston,11332,1,23,154
2006,217819,College of Charleston,11218,3,32,197
2007,217819,College of Charleston,11316,1,28,237
2008,217819,College of Charleston,11367,0,43,182
2009,217819,College of Charleston,11772,0,29,231
2010,217819,College of Charleston,11532,0,68,153
2011,217819,College of Charleston,11649,0,121,368
2012,217819,College of Charleston,11723,1,55,171
2013,217819,College of Charleston,11619,1,53,205
2014,217819,College of Charleston,11456,0,62,166
2001,217882,Clemson University,17101,2,47,40
2002,217882,Clemson University,16876,2,10,43
2003,217882,Clemson University,17016,0,39,71
2004,217882,Clemson University,17110,4,80,776
2005,217882,Clemson University,17165,42,56,1146
2006,217882,Clemson University,17309,2,9,167
2007,217882,Clemson University,17585,2,25,318
2008,217882,Clemson University,18317,0,11,160
2009,217882,Clemson University,19111,1,27,257
2010,217882,Clemson University,19453,1,74,446
2011,217882,Clemson University,19914,1,48,400
2012,217882,Clemson University,20768,0,95,536
2013,217882,Clemson University,21303,1,60,402
2014,217882,Clemson University,21857,0,122,604
2001,218663,University of South Carolina-Columbia,23000,10,100,357
2002,218663,University of South Carolina-Columbia,25140,14,90,465
2003,218663,University of South Carolina-Columbia,25288,4,59,226
2004,218663,University of South Carolina-Columbia,25596,1,124,553
2005,218663,University of South Carolina-Columbia,27065,7,26,242
2006,218663,University of South Carolina-Columbia,27390,11,106,529
2007,218663,University of South Carolina-Columbia,27272,17,88,670
2008,218663,University of South Carolina-Columbia,27488,3,129,751
2009,218663,University of South Carolina-Columbia,28482,0,76,498
2010,218663,University of South Carolina-Columbia,29599,4,201,854
2011,218663,University of South Carolina-Columbia,30721,0,251,1220
2012,218663,University of South Carolina-Columbia,31288,0,26,688
2013,218663,University of South Carolina-Columbia,31964,5,44,812
2014,218663,University of South Carolina-Columbia,32971,0,129,801
2001,248934,ECPI University,3132,0,0,0
2002,248934,ECPI University,3297,0,0,0
2003,248934,ECPI University,3346,0,0,0
2004,248934,ECPI University,4759,0,0,0
2005,248934,ECPI University,5301,0,0,0
2006,248934,ECPI University,7016,0,0,0
2007,248934,ECPI University,8122,0,0,0
2008,248934,ECPI University,8543,0,0,0
2009,248934,ECPI University,12194,0,0,0
2010,248934,ECPI University,12764,0,0,0
2011,248934,ECPI University,10762,0,0,0
2012,248934,ECPI University,9840,0,0,0
2013,248934,ECPI University,10845,0,0,0
2014,248934,ECPI University,10932,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
