Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,137032,Saint Leo University,16349,0,0,0
2002,137032,Saint Leo University,16349,0,0,0
2003,137032,Saint Leo University,16349,0,0,0
2004,137032,Saint Leo University,16349,0,0,0
2005,137032,Saint Leo University,16349,0,0,0
2006,137032,Saint Leo University,16349,0,0,0
2007,137032,Saint Leo University,16349,0,0,0
2008,137032,Saint Leo University,16349,0,0,0
2009,137032,Saint Leo University,16349,0,0,0
2010,137032,Saint Leo University,16349,0,0,0
2011,137032,Saint Leo University,16349,0,0,0
2012,137032,Saint Leo University,16349,0,0,0
2013,137032,Saint Leo University,16349,0,0,0
2014,137032,Saint Leo University,16349,0,0,0
2001,177065,Columbia College,16567,0,0,0
2002,177065,Columbia College,16567,0,0,0
2003,177065,Columbia College,16567,0,0,0
2004,177065,Columbia College,16567,0,0,0
2005,177065,Columbia College,16567,0,0,0
2006,177065,Columbia College,16567,0,0,0
2007,177065,Columbia College,16567,0,0,0
2008,177065,Columbia College,16567,0,0,0
2009,177065,Columbia College,16567,0,0,0
2010,177065,Columbia College,16567,0,0,0
2011,177065,Columbia College,16567,0,0,0
2012,177065,Columbia College,16567,0,0,0
2013,177065,Columbia College,16567,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,217819,College of Charleston,11456,1,2,3
2002,217819,College of Charleston,11456,1,2,3
2003,217819,College of Charleston,11456,1,2,3
2004,217819,College of Charleston,11456,1,2,3
