Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,219356,South Dakota State University,9260,0,0,0,0,0,0,0,0,0,0,8,1,0
2002,219356,South Dakota State University,9900,0,0,1,0,0,0,0,0,0,0,4,1,1
2003,219356,South Dakota State University,10566,0,0,0,0,0,0,0,0,0,1,4,0,1
2004,219356,South Dakota State University,10884,0,0,0,0,0,0,0,0,0,0,4,0,0
2005,219356,South Dakota State University,10938,0,0,1,0,0,0,0,0,0,1,2,0,0
2006,219356,South Dakota State University,11303,0,0,1,0,0,0,0,0,0,0,4,0,0
2007,219356,South Dakota State University,11645,0,0,1,0,0,0,0,0,0,4,7,1,3
2008,219356,South Dakota State University,11995,0,0,0,0,0,0,0,0,0,0,19,1,0
2009,219356,South Dakota State University,12376,0,0,1,0,0,0,0,0,0,0,47,3,5
2010,219356,South Dakota State University,12816,0,0,5,0,0,0,0,0,2,1,31,3,2
2011,219356,South Dakota State University,12725,0,0,1,0,0,0,0,0,1,0,22,1,6
2012,219356,South Dakota State University,12583,0,0,2,0,0,0,0,0,0,0,10,0,1
2013,219356,South Dakota State University,12525,0,0,3,0,0,0,0,0,0,0,10,1,0
2014,219356,South Dakota State University,12543,0,0,0,3,1,0,0,0,0,1,4,1,1
2001,219471,University of South Dakota,8569,0,0,5,0,0,0,0,0,0,0,22,0,6
2002,219471,University of South Dakota,8873,0,0,3,0,0,3,0,0,0,1,47,0,6
2003,219471,University of South Dakota,8093,0,0,1,0,0,0,0,0,0,1,26,0,1
2004,219471,University of South Dakota,8120,0,0,1,0,0,0,0,0,0,0,22,2,1
2005,219471,University of South Dakota,8641,0,0,4,0,0,0,0,0,0,1,24,3,4
2006,219471,University of South Dakota,8746,0,0,5,0,0,0,0,0,0,1,22,4,3
2007,219471,University of South Dakota,9243,0,0,4,0,0,0,0,0,0,0,12,1,0
2008,219471,University of South Dakota,9291,0,0,5,0,0,0,0,0,0,0,16,0,0
2009,219471,University of South Dakota,9617,0,0,3,0,0,0,0,0,0,0,2,0,0
2010,219471,University of South Dakota,10151,0,0,2,0,0,0,0,0,0,0,3,0,0
2011,219471,University of South Dakota,9970,0,0,4,0,0,0,0,0,0,0,7,0,0
2012,219471,University of South Dakota,10284,0,0,4,0,0,0,0,0,0,2,5,0,0
2013,219471,University of South Dakota,10235,0,0,1,0,0,0,0,0,0,3,6,0,0
2014,219471,University of South Dakota,10061,0,0,0,0,2,0,0,0,0,0,0,0,1
