Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,219356,South Dakota State University,9260,9,423,0,5,437
2002,219356,South Dakota State University,9900,7,306,0,5,318
2003,219356,South Dakota State University,10566,6,571,0,5,582
2004,219356,South Dakota State University,10884,4,529,0,5,538
2005,219356,South Dakota State University,10938,4,301,0,5,310
2006,219356,South Dakota State University,11303,5,556,0,5,566
2007,219356,South Dakota State University,11645,16,407,0,5,428
2008,219356,South Dakota State University,11995,20,412,0,5,437
2009,219356,South Dakota State University,12376,56,334,0,5,395
2010,219356,South Dakota State University,12816,44,470,2,5,521
2011,219356,South Dakota State University,12725,31,369,4,5,409
2012,219356,South Dakota State University,12583,13,262,8,5,288
2013,219356,South Dakota State University,12525,14,284,6,5,309
2014,219356,South Dakota State University,12543,11,424,4,5,444
2001,219471,University of South Dakota,8569,33,217,0,3,253
2002,219471,University of South Dakota,8873,60,187,0,3,250
2003,219471,University of South Dakota,8093,29,149,0,3,181
2004,219471,University of South Dakota,8120,26,115,0,3,144
2005,219471,University of South Dakota,8641,36,228,1,3,268
2006,219471,University of South Dakota,8746,35,281,0,3,319
2007,219471,University of South Dakota,9243,17,273,0,3,293
2008,219471,University of South Dakota,9291,21,341,0,3,365
2009,219471,University of South Dakota,9617,5,299,0,3,307
2010,219471,University of South Dakota,10151,5,254,0,3,262
2011,219471,University of South Dakota,9970,11,238,0,3,252
2012,219471,University of South Dakota,10284,11,321,2,3,337
2013,219471,University of South Dakota,10235,10,292,0,3,305
2014,219471,University of South Dakota,10061,3,366,0,3,372
