Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,179894,Webster University,17249,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,219602,Austin Peay State University,7033,0,0,4,0,0,0,0,0,0,3,3,0,0
2002,219602,Austin Peay State University,7482,0,0,1,0,0,0,0,0,0,3,4,1,0
2003,219602,Austin Peay State University,7623,0,0,1,0,0,0,0,0,0,0,3,0,0
2004,219602,Austin Peay State University,8650,0,0,1,0,0,0,0,0,1,1,6,1,0
2005,219602,Austin Peay State University,8813,0,0,0,0,0,0,0,0,2,3,2,9,0
2006,219602,Austin Peay State University,9207,0,0,2,0,0,0,0,0,2,3,1,3,0
2007,219602,Austin Peay State University,9094,0,0,3,0,0,0,0,0,1,2,2,0,1
2008,219602,Austin Peay State University,9401,0,0,3,0,0,0,0,0,0,9,16,0,1
2009,219602,Austin Peay State University,10188,0,0,1,0,0,0,0,0,0,4,38,2,1
2010,219602,Austin Peay State University,10723,0,0,1,0,0,0,0,0,0,0,54,0,0
2011,219602,Austin Peay State University,10873,0,0,0,0,0,0,0,0,2,2,9,0,0
2012,219602,Austin Peay State University,10597,0,0,2,0,0,0,0,0,1,0,18,1,0
2013,219602,Austin Peay State University,10399,0,0,2,0,0,0,0,0,1,0,14,0,0
2014,219602,Austin Peay State University,10111,0,0,0,2,2,0,0,0,2,0,10,1,0
2001,220075,East Tennessee State University,11331,0,0,2,0,0,0,0,0,3,5,19,2,1
2002,220075,East Tennessee State University,11365,0,0,0,0,0,0,0,0,5,1,38,0,0
2003,220075,East Tennessee State University,11624,0,0,2,0,0,0,0,0,0,1,30,2,2
2004,220075,East Tennessee State University,11869,0,0,1,0,0,0,0,0,1,3,11,5,2
2005,220075,East Tennessee State University,11894,0,0,1,0,0,1,0,0,0,2,34,5,1
2006,220075,East Tennessee State University,12390,0,0,5,0,0,0,0,0,0,3,27,6,4
2007,220075,East Tennessee State University,13119,0,0,3,0,0,0,0,0,2,3,17,5,2
2008,220075,East Tennessee State University,13646,0,0,2,0,0,0,0,0,2,1,19,6,0
2009,220075,East Tennessee State University,14421,0,0,4,0,0,1,0,0,1,2,28,2,1
2010,220075,East Tennessee State University,14952,0,0,2,0,0,0,0,0,3,5,22,3,1
2011,220075,East Tennessee State University,15250,0,0,2,0,0,0,0,0,0,2,20,3,1
