Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2002,179894,Webster University,17249,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,219602,Austin Peay State University,7033,0,2,1
2002,219602,Austin Peay State University,7482,0,0,0
2003,219602,Austin Peay State University,7623,0,2,1
2004,219602,Austin Peay State University,8650,0,0,0
2005,219602,Austin Peay State University,8813,0,0,0
2006,219602,Austin Peay State University,9207,0,0,0
2007,219602,Austin Peay State University,9094,0,1,0
2008,219602,Austin Peay State University,9401,0,1,2
2009,219602,Austin Peay State University,10188,0,4,42
2010,219602,Austin Peay State University,10723,0,9,55
2011,219602,Austin Peay State University,10873,0,20,26
2012,219602,Austin Peay State University,10597,2,23,65
2013,219602,Austin Peay State University,10399,4,6,25
2014,219602,Austin Peay State University,10111,1,12,26
2001,220075,East Tennessee State University,11331,2,8,26
2002,220075,East Tennessee State University,11365,0,0,0
2003,220075,East Tennessee State University,11624,0,0,0
2004,220075,East Tennessee State University,11869,0,0,0
2005,220075,East Tennessee State University,11894,0,0,0
2006,220075,East Tennessee State University,12390,0,0,0
2007,220075,East Tennessee State University,13119,0,0,0
2008,220075,East Tennessee State University,13646,0,0,0
2009,220075,East Tennessee State University,14421,0,0,0
2010,220075,East Tennessee State University,14952,1,0,6
2011,220075,East Tennessee State University,15250,0,0,0
2012,220075,East Tennessee State University,15133,4,39,53
2013,220075,East Tennessee State University,14691,4,34,113
2014,220075,East Tennessee State University,14434,2,29,79
2001,220862,University of Memphis,20332,0,20,11
2002,220862,University of Memphis,19797,0,24,45
2003,220862,University of Memphis,19911,0,21,38
2004,220862,University of Memphis,20668,0,19,33
2005,220862,University of Memphis,20465,0,10,26
2006,220862,University of Memphis,20562,0,15,27
2007,220862,University of Memphis,20379,0,13,7
2008,220862,University of Memphis,20220,0,6,11
2009,220862,University of Memphis,21424,0,21,10
2010,220862,University of Memphis,22420,1,12,23
2011,220862,University of Memphis,22725,0,34,8
2012,220862,University of Memphis,22139,0,25,13
2013,220862,University of Memphis,21480,1,28,0
2014,220862,University of Memphis,21059,2,18,2
2001,220978,Middle Tennessee State University,20073,7,67,47
2002,220978,Middle Tennessee State University,21163,5,74,77
2003,220978,Middle Tennessee State University,21744,18,58,90
2004,220978,Middle Tennessee State University,22322,19,43,74
2005,220978,Middle Tennessee State University,22554,6,53,50
2006,220978,Middle Tennessee State University,22863,4,78,123
2007,220978,Middle Tennessee State University,23246,29,176,171
2008,220978,Middle Tennessee State University,23872,16,103,87
2009,220978,Middle Tennessee State University,25188,11,106,116
2010,220978,Middle Tennessee State University,26430,14,72,52
2011,220978,Middle Tennessee State University,26442,6,36,55
2012,220978,Middle Tennessee State University,25394,4,77,73
2013,220978,Middle Tennessee State University,23881,8,56,7
2014,220978,Middle Tennessee State University,22729,6,71,43
2001,221740,The University of Tennessee-Chattanooga,8485,1,20,116
2002,221740,The University of Tennessee-Chattanooga,8524,4,8,133
2003,221740,The University of Tennessee-Chattanooga,8557,2,29,77
2004,221740,The University of Tennessee-Chattanooga,8689,0,8,112
2005,221740,The University of Tennessee-Chattanooga,8656,0,7,180
2006,221740,The University of Tennessee-Chattanooga,8923,1,31,274
2007,221740,The University of Tennessee-Chattanooga,9558,3,21,80
2008,221740,The University of Tennessee-Chattanooga,9807,4,37,190
2009,221740,The University of Tennessee-Chattanooga,10526,0,34,119
2010,221740,The University of Tennessee-Chattanooga,10781,0,38,129
2011,221740,The University of Tennessee-Chattanooga,11438,2,154,377
2012,221740,The University of Tennessee-Chattanooga,11660,0,46,235
2013,221740,The University of Tennessee-Chattanooga,11674,0,65,282
2014,221740,The University of Tennessee-Chattanooga,11670,0,103,488
2001,221759,The University of Tennessee-Knoxville,26033,2,104,347
2002,221759,The University of Tennessee-Knoxville,27971,2,77,301
2003,221759,The University of Tennessee-Knoxville,27281,5,97,378
2004,221759,The University of Tennessee-Knoxville,27792,2,66,459
2005,221759,The University of Tennessee-Knoxville,28512,1,150,574
2006,221759,The University of Tennessee-Knoxville,28901,0,111,575
2007,221759,The University of Tennessee-Knoxville,29937,2,31,590
2008,221759,The University of Tennessee-Knoxville,30410,8,112,566
2009,221759,The University of Tennessee-Knoxville,29934,4,97,461
2010,221759,The University of Tennessee-Knoxville,30300,3,74,515
2011,221759,The University of Tennessee-Knoxville,30194,8,162,713
2012,221759,The University of Tennessee-Knoxville,29833,9,161,659
2013,221759,The University of Tennessee-Knoxville,30030,8,134,457
2014,221759,The University of Tennessee-Knoxville,30386,3,154,501
2001,221847,Tennessee Technological University,8653,1,10,5
2002,221847,Tennessee Technological University,8890,1,17,13
2003,221847,Tennessee Technological University,9107,0,13,20
2004,221847,Tennessee Technological University,9217,3,20,23
2005,221847,Tennessee Technological University,9313,0,9,11
2006,221847,Tennessee Technological University,9733,6,6,4
2007,221847,Tennessee Technological University,10321,1,6,12
2008,221847,Tennessee Technological University,10793,0,3,5
2009,221847,Tennessee Technological University,10847,0,7,7
2010,221847,Tennessee Technological University,11538,0,6,5
2011,221847,Tennessee Technological University,11768,1,15,11
2012,221847,Tennessee Technological University,11469,1,11,16
2013,221847,Tennessee Technological University,11118,0,19,28
2014,221847,Tennessee Technological University,11339,1,23,10
2001,221999,Vanderbilt University,10338,0,7,207
2002,221999,Vanderbilt University,10712,1,16,156
2003,221999,Vanderbilt University,11092,0,21,173
2004,221999,Vanderbilt University,11294,0,25,288
2005,221999,Vanderbilt University,11479,0,48,316
2006,221999,Vanderbilt University,11607,1,28,306
2007,221999,Vanderbilt University,11847,0,40,316
2008,221999,Vanderbilt University,12093,0,23,205
2009,221999,Vanderbilt University,12506,0,22,160
2010,221999,Vanderbilt University,12714,2,52,228
2011,221999,Vanderbilt University,12836,0,57,218
2012,221999,Vanderbilt University,12710,0,101,359
2013,221999,Vanderbilt University,12757,0,175,349
2014,221999,Vanderbilt University,12686,0,101,451
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
