Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,219602,Austin Peay State University,10111,7,0,0
2002,219602,Austin Peay State University,10111,7,0,0
2003,219602,Austin Peay State University,10111,7,0,0
2004,219602,Austin Peay State University,10111,7,0,0
2005,219602,Austin Peay State University,10111,7,0,0
2006,219602,Austin Peay State University,10111,7,0,0
2007,219602,Austin Peay State University,10111,7,0,0
2008,219602,Austin Peay State University,10111,7,0,0
2009,219602,Austin Peay State University,10111,7,0,0
2010,219602,Austin Peay State University,10111,7,0,0
2011,219602,Austin Peay State University,10111,7,0,0
2012,219602,Austin Peay State University,10111,7,0,0
2013,219602,Austin Peay State University,10111,7,0,0
2014,219602,Austin Peay State University,10111,7,0,0
2001,220075,East Tennessee State University,14434,11,5,0
2002,220075,East Tennessee State University,14434,11,5,0
2003,220075,East Tennessee State University,14434,11,5,0
2004,220075,East Tennessee State University,14434,11,5,0
2005,220075,East Tennessee State University,14434,11,5,0
2006,220075,East Tennessee State University,14434,11,5,0
2007,220075,East Tennessee State University,14434,11,5,0
2008,220075,East Tennessee State University,14434,11,5,0
