Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,160755,Tulane University of Louisiana,11464,0,0,0
2010,160755,Tulane University of Louisiana,12144,0,0,0
2011,160755,Tulane University of Louisiana,12845,0,0,0
2012,160755,Tulane University of Louisiana,12958,0,0,0
2013,160755,Tulane University of Louisiana,12938,0,0,0
2014,160755,Tulane University of Louisiana,12603,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0
2001,177065,Columbia College,8564,0,0,0
2002,177065,Columbia College,8958,0,0,0
2003,177065,Columbia College,10146,0,0,0
2004,177065,Columbia College,11017,0,0,0
2005,177065,Columbia College,11792,0,0,0
2006,177065,Columbia College,12280,0,0,0
2007,177065,Columbia College,12954,0,0,0
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,223232,Baylor University,14221,11,58,269
2002,223232,Baylor University,14159,4,41,290
2003,223232,Baylor University,13937,6,56,222
2004,223232,Baylor University,13799,3,15,9
2005,223232,Baylor University,13975,2,11,11
2006,223232,Baylor University,14040,1,6,2
2007,223232,Baylor University,14174,0,10,0
2008,223232,Baylor University,14541,1,13,5
2009,223232,Baylor University,14614,0,12,7
2010,223232,Baylor University,14900,0,9,11
2011,223232,Baylor University,15029,0,8,8
2012,223232,Baylor University,15364,0,19,10
2013,223232,Baylor University,15616,0,11,9
2014,223232,Baylor University,16263,0,11,9
2001,224147,Texas A & M University-Corpus Christi,7369,2,7,4
2002,224147,Texas A & M University-Corpus Christi,7607,0,3,9
2003,224147,Texas A & M University-Corpus Christi,7861,0,4,18
2004,224147,Texas A & M University-Corpus Christi,8227,0,9,27
2005,224147,Texas A & M University-Corpus Christi,8365,1,12,23
2006,224147,Texas A & M University-Corpus Christi,8585,0,19,19
2007,224147,Texas A & M University-Corpus Christi,8563,1,6,55
2008,224147,Texas A & M University-Corpus Christi,9007,0,5,61
2009,224147,Texas A & M University-Corpus Christi,9468,4,11,51
2010,224147,Texas A & M University-Corpus Christi,10033,2,9,10
2011,224147,Texas A & M University-Corpus Christi,10162,1,6,10
2012,224147,Texas A & M University-Corpus Christi,10508,0,8,18
2013,224147,Texas A & M University-Corpus Christi,10913,2,14,4
2014,224147,Texas A & M University-Corpus Christi,11256,0,0,5
2001,224554,Texas A & M University-Commerce,7988,0,0,0
2002,224554,Texas A & M University-Commerce,8542,0,0,15
2003,224554,Texas A & M University-Commerce,8391,0,0,0
2004,224554,Texas A & M University-Commerce,8620,0,0,0
2005,224554,Texas A & M University-Commerce,8777,0,2,0
2006,224554,Texas A & M University-Commerce,8471,0,13,1
2007,224554,Texas A & M University-Commerce,8813,0,16,8
2008,224554,Texas A & M University-Commerce,8725,0,0,0
2009,224554,Texas A & M University-Commerce,9021,0,0,1
2010,224554,Texas A & M University-Commerce,10787,0,1,0
2011,224554,Texas A & M University-Commerce,11417,0,20,6
2012,224554,Texas A & M University-Commerce,11871,0,32,23
2013,224554,Texas A & M University-Commerce,11591,1,97,75
2014,224554,Texas A & M University-Commerce,12111,3,106,22
2001,225432,University of Houston-Downtown,9704,0,0,0
2002,225432,University of Houston-Downtown,10528,0,0,0
2003,225432,University of Houston-Downtown,10974,0,0,0
2004,225432,University of Houston-Downtown,11408,0,0,0
2005,225432,University of Houston-Downtown,11484,0,0,0
2006,225432,University of Houston-Downtown,11449,0,0,0
2007,225432,University of Houston-Downtown,11793,0,3,0
2008,225432,University of Houston-Downtown,12283,0,0,1
2009,225432,University of Houston-Downtown,12742,0,0,0
2010,225432,University of Houston-Downtown,12900,0,1,0
2011,225432,University of Houston-Downtown,12918,0,1,0
2012,225432,University of Houston-Downtown,13916,0,0,0
2013,225432,University of Houston-Downtown,13757,0,0,0
2014,225432,University of Houston-Downtown,14439,0,0,1
2001,225511,University of Houston,33007,0,22,23
2002,225511,University of Houston,34443,0,4,1
2003,225511,University of Houston,35066,0,4,7
2004,225511,University of Houston,35180,0,14,2
2005,225511,University of Houston,35344,1,15,3
2006,225511,University of Houston,34334,1,10,2
2007,225511,University of Houston,34663,0,37,7
2008,225511,University of Houston,36104,0,24,5
2009,225511,University of Houston,37000,0,12,7
2010,225511,University of Houston,38752,1,13,3
2011,225511,University of Houston,39820,1,4,1
2012,225511,University of Houston,40747,1,4,24
2013,225511,University of Houston,39540,0,9,17
2014,225511,University of Houston,40914,0,15,15
2001,226091,Lamar University,11214,1,2,4
2002,226091,Lamar University,9802,0,0,0
2003,226091,Lamar University,10379,1,0,13
2004,226091,Lamar University,10804,2,0,6
2005,226091,Lamar University,10595,0,0,0
2006,226091,Lamar University,9906,0,0,0
2007,226091,Lamar University,10213,0,0,0
2008,226091,Lamar University,13465,0,4,1
2009,226091,Lamar University,13992,2,12,2
2010,226091,Lamar University,14385,2,29,6
2011,226091,Lamar University,14020,0,66,23
2012,226091,Lamar University,14289,3,29,8
2013,226091,Lamar University,14035,1,17,7
2014,226091,Lamar University,14895,0,5,0
2001,227216,University of North Texas,27858,2,44,177
2002,227216,University of North Texas,30183,3,36,148
2003,227216,University of North Texas,31065,0,39,192
2004,227216,University of North Texas,31155,1,18,139
2005,227216,University of North Texas,31958,0,13,191
2006,227216,University of North Texas,33395,0,24,177
