Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,160755,Tulane University of Louisiana,12603,0,0,0
2002,160755,Tulane University of Louisiana,12603,0,0,0
2003,160755,Tulane University of Louisiana,12603,0,0,0
2004,160755,Tulane University of Louisiana,12603,0,0,0
2005,160755,Tulane University of Louisiana,12603,0,0,0
2006,160755,Tulane University of Louisiana,12603,0,0,0
2007,160755,Tulane University of Louisiana,12603,0,0,0
2008,160755,Tulane University of Louisiana,12603,0,0,0
2009,160755,Tulane University of Louisiana,12603,0,0,0
2010,160755,Tulane University of Louisiana,12603,0,0,0
2011,160755,Tulane University of Louisiana,12603,0,0,0
2012,160755,Tulane University of Louisiana,12603,0,0,0
2013,160755,Tulane University of Louisiana,12603,0,0,0
2014,160755,Tulane University of Louisiana,12603,0,0,0
2001,163204,University of Maryland-University College,47906,0,0,0
2002,163204,University of Maryland-University College,47906,0,0,0
2003,163204,University of Maryland-University College,47906,0,0,0
2004,163204,University of Maryland-University College,47906,0,0,0
2005,163204,University of Maryland-University College,47906,0,0,0
2006,163204,University of Maryland-University College,47906,0,0,0
2007,163204,University of Maryland-University College,47906,0,0,0
2008,163204,University of Maryland-University College,47906,0,0,0
2009,163204,University of Maryland-University College,47906,0,0,0
2010,163204,University of Maryland-University College,47906,0,0,0
2011,163204,University of Maryland-University College,47906,0,0,0
2012,163204,University of Maryland-University College,47906,0,0,0
2013,163204,University of Maryland-University College,47906,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0
2001,177065,Columbia College,16567,0,0,0
2002,177065,Columbia College,16567,0,0,0
2003,177065,Columbia College,16567,0,0,0
2004,177065,Columbia College,16567,0,0,0
2005,177065,Columbia College,16567,0,0,0
2006,177065,Columbia College,16567,0,0,0
2007,177065,Columbia College,16567,0,0,0
2008,177065,Columbia College,16567,0,0,0
2009,177065,Columbia College,16567,0,0,0
2010,177065,Columbia College,16567,0,0,0
2011,177065,Columbia College,16567,0,0,0
2012,177065,Columbia College,16567,0,0,0
2013,177065,Columbia College,16567,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,223232,Baylor University,16263,2,2,2
2002,223232,Baylor University,16263,2,2,2
2003,223232,Baylor University,16263,2,2,2
2004,223232,Baylor University,16263,2,2,2
2005,223232,Baylor University,16263,2,2,2
2006,223232,Baylor University,16263,2,2,2
2007,223232,Baylor University,16263,2,2,2
2008,223232,Baylor University,16263,2,2,2
2009,223232,Baylor University,16263,2,2,2
2010,223232,Baylor University,16263,2,2,2
2011,223232,Baylor University,16263,2,2,2
2012,223232,Baylor University,16263,2,2,2
2013,223232,Baylor University,16263,2,2,2
2014,223232,Baylor University,16263,2,2,2
2001,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2002,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2003,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2004,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2005,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2006,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2007,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2008,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2009,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2010,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2011,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2012,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2013,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2014,224147,Texas A & M University-Corpus Christi,11256,0,4,0
2001,224554,Texas A & M University-Commerce,12111,1,8,1
2002,224554,Texas A & M University-Commerce,12111,1,8,1
2003,224554,Texas A & M University-Commerce,12111,1,8,1
2004,224554,Texas A & M University-Commerce,12111,1,8,1
2005,224554,Texas A & M University-Commerce,12111,1,8,1
2006,224554,Texas A & M University-Commerce,12111,1,8,1
2007,224554,Texas A & M University-Commerce,12111,1,8,1
2008,224554,Texas A & M University-Commerce,12111,1,8,1
2009,224554,Texas A & M University-Commerce,12111,1,8,1
2010,224554,Texas A & M University-Commerce,12111,1,8,1
2011,224554,Texas A & M University-Commerce,12111,1,8,1
2012,224554,Texas A & M University-Commerce,12111,1,8,1
2013,224554,Texas A & M University-Commerce,12111,1,8,1
2014,224554,Texas A & M University-Commerce,12111,1,8,1
2001,225432,University of Houston-Downtown,14439,2,0,2
2002,225432,University of Houston-Downtown,14439,2,0,2
2003,225432,University of Houston-Downtown,14439,2,0,2
2004,225432,University of Houston-Downtown,14439,2,0,2
2005,225432,University of Houston-Downtown,14439,2,0,2
2006,225432,University of Houston-Downtown,14439,2,0,2
2007,225432,University of Houston-Downtown,14439,2,0,2
2008,225432,University of Houston-Downtown,14439,2,0,2
2009,225432,University of Houston-Downtown,14439,2,0,2
2010,225432,University of Houston-Downtown,14439,2,0,2
2011,225432,University of Houston-Downtown,14439,2,0,2
2012,225432,University of Houston-Downtown,14439,2,0,2
2013,225432,University of Houston-Downtown,14439,2,0,2
2014,225432,University of Houston-Downtown,14439,2,0,2
2001,225511,University of Houston,40914,3,22,8
2002,225511,University of Houston,40914,3,22,8
2003,225511,University of Houston,40914,3,22,8
2004,225511,University of Houston,40914,3,22,8
2005,225511,University of Houston,40914,3,22,8
2006,225511,University of Houston,40914,3,22,8
2007,225511,University of Houston,40914,3,22,8
2008,225511,University of Houston,40914,3,22,8
2009,225511,University of Houston,40914,3,22,8
2010,225511,University of Houston,40914,3,22,8
2011,225511,University of Houston,40914,3,22,8
2012,225511,University of Houston,40914,3,22,8
2013,225511,University of Houston,40914,3,22,8
2014,225511,University of Houston,40914,3,22,8
2001,226091,Lamar University,14895,0,2,6
2002,226091,Lamar University,14895,0,2,6
2003,226091,Lamar University,14895,0,2,6
2004,226091,Lamar University,14895,0,2,6
2005,226091,Lamar University,14895,0,2,6
2006,226091,Lamar University,14895,0,2,6
2007,226091,Lamar University,14895,0,2,6
2008,226091,Lamar University,14895,0,2,6
2009,226091,Lamar University,14895,0,2,6
2010,226091,Lamar University,14895,0,2,6
2011,226091,Lamar University,14895,0,2,6
2012,226091,Lamar University,14895,0,2,6
2013,226091,Lamar University,14895,0,2,6
2014,226091,Lamar University,14895,0,2,6
2001,227216,University of North Texas,36486,5,5,0
2002,227216,University of North Texas,36486,5,5,0
2003,227216,University of North Texas,36486,5,5,0
2004,227216,University of North Texas,36486,5,5,0
2005,227216,University of North Texas,36486,5,5,0
2006,227216,University of North Texas,36486,5,5,0
2007,227216,University of North Texas,36486,5,5,0
2008,227216,University of North Texas,36486,5,5,0
2009,227216,University of North Texas,36486,5,5,0
2010,227216,University of North Texas,36486,5,5,0
2011,227216,University of North Texas,36486,5,5,0
2012,227216,University of North Texas,36486,5,5,0
2013,227216,University of North Texas,36486,5,5,0
2014,227216,University of North Texas,36486,5,5,0
2001,227368,The University of Texas-Pan American,21015,1,3,6
2002,227368,The University of Texas-Pan American,21015,1,3,6
2003,227368,The University of Texas-Pan American,21015,1,3,6
2004,227368,The University of Texas-Pan American,21015,1,3,6
2005,227368,The University of Texas-Pan American,21015,1,3,6
2006,227368,The University of Texas-Pan American,21015,1,3,6
2007,227368,The University of Texas-Pan American,21015,1,3,6
2008,227368,The University of Texas-Pan American,21015,1,3,6
2009,227368,The University of Texas-Pan American,21015,1,3,6
2010,227368,The University of Texas-Pan American,21015,1,3,6
2011,227368,The University of Texas-Pan American,21015,1,3,6
2012,227368,The University of Texas-Pan American,21015,1,3,6
2013,227368,The University of Texas-Pan American,21015,1,3,6
2014,227368,The University of Texas-Pan American,21015,1,3,6
2001,227377,The University of Texas at Brownsville,11943,1,0,2
2002,227377,The University of Texas at Brownsville,11943,1,0,2
2003,227377,The University of Texas at Brownsville,11943,1,0,2
2004,227377,The University of Texas at Brownsville,11943,1,0,2
2005,227377,The University of Texas at Brownsville,11943,1,0,2
2006,227377,The University of Texas at Brownsville,11943,1,0,2
2007,227377,The University of Texas at Brownsville,11943,1,0,2
2008,227377,The University of Texas at Brownsville,11943,1,0,2
