Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2009,160755,Tulane University of Louisiana,11464,0,0,0,0,0
2010,160755,Tulane University of Louisiana,12144,0,0,0,0,0
2011,160755,Tulane University of Louisiana,12845,0,0,0,0,0
2012,160755,Tulane University of Louisiana,12958,0,0,0,0,0
2013,160755,Tulane University of Louisiana,12938,0,0,0,0,0
2014,160755,Tulane University of Louisiana,12603,1,0,0,0,1
2014,163204,University of Maryland-University College,47906,0,0,0,0,0
2001,177065,Columbia College,8564,0,0,0,0,0
2002,177065,Columbia College,8958,0,0,0,0,0
2003,177065,Columbia College,10146,0,0,0,0,0
2004,177065,Columbia College,11017,0,0,0,0,0
2005,177065,Columbia College,11792,0,0,0,0,0
2006,177065,Columbia College,12280,0,0,0,0,0
2007,177065,Columbia College,12954,0,0,0,0,0
2008,177065,Columbia College,14081,0,0,0,0,0
2009,177065,Columbia College,15556,0,0,0,0,0
2010,177065,Columbia College,16962,0,0,0,0,0
2011,177065,Columbia College,18091,0,0,0,0,0
2012,177065,Columbia College,17830,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0
2012,178721,Park University,11765,1,0,0,0,1
2013,178721,Park University,10978,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0
2001,223232,Baylor University,14221,41,338,0,6,385
2002,223232,Baylor University,14159,30,335,0,6,371
2003,223232,Baylor University,13937,35,284,0,6,325
2004,223232,Baylor University,13799,19,27,0,6,52
2005,223232,Baylor University,13975,42,24,0,6,72
2006,223232,Baylor University,14040,27,9,0,6,42
2007,223232,Baylor University,14174,16,10,0,6,32
2008,223232,Baylor University,14541,17,19,0,6,42
2009,223232,Baylor University,14614,14,19,0,6,39
2010,223232,Baylor University,14900,17,20,0,6,43
2011,223232,Baylor University,15029,16,16,0,6,38
2012,223232,Baylor University,15364,11,29,0,6,46
2013,223232,Baylor University,15616,15,20,0,6,41
2014,223232,Baylor University,16263,18,20,2,6,46
2001,224147,Texas A & M University-Corpus Christi,7369,9,13,0,4,26
2002,224147,Texas A & M University-Corpus Christi,7607,10,12,0,4,26
2003,224147,Texas A & M University-Corpus Christi,7861,11,22,0,4,37
2004,224147,Texas A & M University-Corpus Christi,8227,17,36,0,4,57
2005,224147,Texas A & M University-Corpus Christi,8365,19,36,0,4,59
2006,224147,Texas A & M University-Corpus Christi,8585,24,38,0,4,66
2007,224147,Texas A & M University-Corpus Christi,8563,17,62,0,4,83
2008,224147,Texas A & M University-Corpus Christi,9007,21,66,0,4,91
2009,224147,Texas A & M University-Corpus Christi,9468,8,66,0,4,78
2010,224147,Texas A & M University-Corpus Christi,10033,8,21,0,4,33
2011,224147,Texas A & M University-Corpus Christi,10162,2,17,0,4,23
2012,224147,Texas A & M University-Corpus Christi,10508,5,26,0,4,35
2013,224147,Texas A & M University-Corpus Christi,10913,13,20,0,4,37
2014,224147,Texas A & M University-Corpus Christi,11256,15,5,0,4,24
2001,224554,Texas A & M University-Commerce,7988,36,0,0,10,46
2002,224554,Texas A & M University-Commerce,8542,65,15,0,10,90
2003,224554,Texas A & M University-Commerce,8391,34,0,0,10,44
2004,224554,Texas A & M University-Commerce,8620,41,0,0,10,51
2005,224554,Texas A & M University-Commerce,8777,46,2,0,10,58
2006,224554,Texas A & M University-Commerce,8471,22,14,0,10,46
2007,224554,Texas A & M University-Commerce,8813,31,24,0,10,65
2008,224554,Texas A & M University-Commerce,8725,9,0,0,10,19
2009,224554,Texas A & M University-Commerce,9021,24,1,0,10,35
2010,224554,Texas A & M University-Commerce,10787,25,1,0,10,36
2011,224554,Texas A & M University-Commerce,11417,24,26,0,10,60
2012,224554,Texas A & M University-Commerce,11871,21,55,4,10,90
2013,224554,Texas A & M University-Commerce,11591,24,173,0,10,207
2014,224554,Texas A & M University-Commerce,12111,44,131,0,10,185
2001,225432,University of Houston-Downtown,9704,3,0,0,4,7
