Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,177065,Columbia College,8564,0,0,0
2002,177065,Columbia College,8958,0,0,0
2003,177065,Columbia College,10146,0,0,0
2004,177065,Columbia College,11017,0,0,0
2005,177065,Columbia College,11792,0,0,0
2006,177065,Columbia College,12280,0,0,0
2007,177065,Columbia College,12954,0,0,0
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,230038,Brigham Young University-Provo,32771,0,0,0
2002,230038,Brigham Young University-Provo,32408,0,0,1
2003,230038,Brigham Young University-Provo,33008,0,0,0
2004,230038,Brigham Young University-Provo,34347,0,0,0
2005,230038,Brigham Young University-Provo,34067,0,0,1
2006,230038,Brigham Young University-Provo,34185,0,2,1
2007,230038,Brigham Young University-Provo,34174,0,0,0
2008,230038,Brigham Young University-Provo,34244,0,0,2
2009,230038,Brigham Young University-Provo,34130,0,0,0
2010,230038,Brigham Young University-Provo,33841,0,1,0
2011,230038,Brigham Young University-Provo,34101,0,0,0
2012,230038,Brigham Young University-Provo,34409,1,2,0
2013,230038,Brigham Young University-Provo,31123,0,0,0
2014,230038,Brigham Young University-Provo,30484,0,0,0
2001,230728,Utah State University,23001,0,1,3
2002,230728,Utah State University,22848,0,0,0
2003,230728,Utah State University,16460,0,0,0
2004,230728,Utah State University,16130,0,0,0
2005,230728,Utah State University,14458,0,0,0
2006,230728,Utah State University,14444,0,0,0
2007,230728,Utah State University,14893,0,0,0
2008,230728,Utah State University,15099,0,0,0
2009,230728,Utah State University,15612,0,0,0
2010,230728,Utah State University,16472,0,0,0
2011,230728,Utah State University,26757,0,0,0
2012,230728,Utah State University,28786,0,6,8
2013,230728,Utah State University,27812,0,5,4
2014,230728,Utah State University,27662,0,11,20
2001,230737,Utah Valley University,22609,0,0,0
2002,230737,Utah Valley University,23609,0,0,0
2003,230737,Utah Valley University,23803,0,0,0
2004,230737,Utah Valley University,24149,0,0,0
2005,230737,Utah Valley University,24180,0,0,0
2006,230737,Utah Valley University,23305,2,6,5
2007,230737,Utah Valley University,23840,0,0,0
2008,230737,Utah Valley University,26696,0,1,1
2009,230737,Utah Valley University,28765,0,0,0
2010,230737,Utah Valley University,32670,0,1,0
2011,230737,Utah Valley University,33395,0,0,0
2012,230737,Utah Valley University,31562,0,0,1
2013,230737,Utah Valley University,30564,0,2,0
2014,230737,Utah Valley University,31332,1,1,3
2001,230764,University of Utah,27668,0,0,6
2002,230764,University of Utah,28369,0,0,0
2003,230764,University of Utah,28436,0,0,0
2004,230764,University of Utah,28933,0,36,94
2005,230764,University of Utah,30558,0,28,195
2006,230764,University of Utah,30511,0,23,210
2007,230764,University of Utah,28025,1,22,163
2008,230764,University of Utah,28211,0,24,176
2009,230764,University of Utah,29284,0,66,134
2010,230764,University of Utah,30819,0,68,179
2011,230764,University of Utah,31660,0,96,268
2012,230764,University of Utah,32388,1,67,237
2013,230764,University of Utah,32077,0,108,258
2014,230764,University of Utah,31515,1,106,272
2001,230782,Weber State University,16873,0,0,0
2002,230782,Weber State University,18059,0,0,0
2003,230782,Weber State University,18821,0,0,0
2004,230782,Weber State University,18498,0,0,0
2005,230782,Weber State University,18142,0,0,0
2006,230782,Weber State University,18303,0,0,0
2007,230782,Weber State University,18081,0,2,0
2008,230782,Weber State University,21388,0,0,0
2009,230782,Weber State University,23001,0,0,0
2010,230782,Weber State University,24048,0,0,0
2011,230782,Weber State University,25301,0,0,0
2012,230782,Weber State University,26532,0,0,0
2013,230782,Weber State University,25155,0,0,0
2014,230782,Weber State University,25954,1,21,51
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,433387,Western Governors University,46733,0,0,0
2014,433387,Western Governors University,57821,0,0,0
