Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,177065,Columbia College,16567,0,0,0
2014,178721,Park University,10792,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,230038,Brigham Young University-Provo,30484,1,1,9
2014,230728,Utah State University,27662,2,0,6
2014,230737,Utah Valley University,31332,1,1,10
2014,230764,University of Utah,31515,5,4,14
2014,230782,Weber State University,25954,2,2,3
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,433387,Western Governors University,57821,0,0,0
