Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2004,102368,Troy University,20855,0,0,0
2005,102368,Troy University,26880,0,0,0
2006,102368,Troy University,27938,0,0,0
2007,102368,Troy University,28955,0,0,0
2008,102368,Troy University,28303,0,0,0
2009,102368,Troy University,29328,0,0,0
2010,102368,Troy University,28322,0,0,0
2011,102368,Troy University,26172,0,0,0
2012,102368,Troy University,22554,0,0,0
2013,102368,Troy University,20573,0,0,0
2014,102368,Troy University,19041,0,0,0
2001,131469,George Washington University,22184,0,0,0
2002,131469,George Washington University,23019,0,0,0
2003,131469,George Washington University,23417,0,0,0
2004,131469,George Washington University,24092,0,0,0
2005,131469,George Washington University,24099,0,0,0
2006,131469,George Washington University,24531,0,0,0
2007,131469,George Washington University,25078,0,0,0
2008,131469,George Washington University,25116,0,0,0
2009,131469,George Washington University,25061,0,0,0
2010,131469,George Washington University,25135,0,0,0
2011,131469,George Washington University,25260,0,0,0
2012,131469,George Washington University,25653,0,0,0
2013,131469,George Washington University,25264,0,0,0
2014,131469,George Washington University,25613,0,0,0
2011,137032,Saint Leo University,15564,0,0,0
2012,137032,Saint Leo University,15986,0,0,0
2013,137032,Saint Leo University,16275,0,0,0
2014,137032,Saint Leo University,16349,0,0,0
2013,163204,University of Maryland-University College,39557,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,232186,George Mason University,24897,7,52,363
2002,232186,George Mason University,26796,5,67,402
2003,232186,George Mason University,28246,3,87,710
2004,232186,George Mason University,28874,9,35,515
2005,232186,George Mason University,29728,10,30,571
2006,232186,George Mason University,29889,1,11,164
2007,232186,George Mason University,30276,0,16,87
2008,232186,George Mason University,30613,0,39,256
2009,232186,George Mason University,32067,6,33,151
2010,232186,George Mason University,32562,2,65,259
2011,232186,George Mason University,33320,0,44,211
2012,232186,George Mason University,32961,0,42,560
2013,232186,George Mason University,33917,1,65,403
2014,232186,George Mason University,33729,3,60,488
2001,232423,James Madison University,15562,8,25,498
2002,232423,James Madison University,15965,11,31,356
2003,232423,James Madison University,16203,9,19,616
2004,232423,James Madison University,16108,1,38,489
2005,232423,James Madison University,16938,7,13,481
2006,232423,James Madison University,17393,5,11,608
2007,232423,James Madison University,17918,2,10,487
2008,232423,James Madison University,18454,7,34,573
2009,232423,James Madison University,18971,3,19,460
2010,232423,James Madison University,19434,5,21,573
2011,232423,James Madison University,19722,4,225,1150
2012,232423,James Madison University,19927,0,118,1106
2013,232423,James Madison University,20181,0,29,523
2014,232423,James Madison University,20855,2,47,1012
2001,232557,Liberty University,6162,0,2,27
2002,232557,Liberty University,7709,0,3,15
2003,232557,Liberty University,9050,1,0,6
2004,232557,Liberty University,10475,0,19,23
2005,232557,Liberty University,12458,0,25,42
2006,232557,Liberty University,17798,0,24,58
2007,232557,Liberty University,27068,0,20,21
2008,232557,Liberty University,33604,3,10,20
2009,232557,Liberty University,46312,1,19,93
2010,232557,Liberty University,56625,1,29,43
2011,232557,Liberty University,64096,2,22,53
2012,232557,Liberty University,74372,4,24,70
2013,232557,Liberty University,77338,0,34,58
2014,232557,Liberty University,81459,1,31,53
2001,232982,Old Dominion University,19627,1,26,185
2002,232982,Old Dominion University,20105,3,22,167
2003,232982,Old Dominion University,20802,1,18,201
2004,232982,Old Dominion University,20595,2,34,314
2005,232982,Old Dominion University,21274,2,17,159
2006,232982,Old Dominion University,21625,5,42,345
2007,232982,Old Dominion University,22287,3,46,302
2008,232982,Old Dominion University,23086,6,26,126
2009,232982,Old Dominion University,24013,0,55,252
2010,232982,Old Dominion University,24466,0,115,333
2011,232982,Old Dominion University,24753,1,143,362
2012,232982,Old Dominion University,24670,2,177,530
2013,232982,Old Dominion University,24828,2,121,378
2014,232982,Old Dominion University,24932,1,237,273
2001,233921,Virginia Polytechnic Institute and State University,28203,0,5,335
2002,233921,Virginia Polytechnic Institute and State University,28027,0,8,390
2003,233921,Virginia Polytechnic Institute and State University,27755,0,5,203
2004,233921,Virginia Polytechnic Institute and State University,27619,0,6,549
2005,233921,Virginia Polytechnic Institute and State University,27979,0,13,563
2006,233921,Virginia Polytechnic Institute and State University,28470,3,8,773
2007,233921,Virginia Polytechnic Institute and State University,29898,0,10,737
2008,233921,Virginia Polytechnic Institute and State University,30739,0,16,572
2009,233921,Virginia Polytechnic Institute and State University,30870,0,22,637
2010,233921,Virginia Polytechnic Institute and State University,31006,0,20,415
2011,233921,Virginia Polytechnic Institute and State University,30936,0,22,530
2012,233921,Virginia Polytechnic Institute and State University,31087,1,34,377
2013,233921,Virginia Polytechnic Institute and State University,31205,0,25,515
2014,233921,Virginia Polytechnic Institute and State University,31224,0,33,617
2001,234030,Virginia Commonwealth University,25001,0,0,40
2002,234030,Virginia Commonwealth University,26009,0,42,66
2003,234030,Virginia Commonwealth University,26631,4,48,184
2004,234030,Virginia Commonwealth University,28303,6,74,318
2005,234030,Virginia Commonwealth University,29168,3,46,189
2006,234030,Virginia Commonwealth University,30189,6,31,155
2007,234030,Virginia Commonwealth University,31700,0,47,226
2008,234030,Virginia Commonwealth University,32044,0,61,230
2009,234030,Virginia Commonwealth University,32172,0,16,130
2010,234030,Virginia Commonwealth University,32027,0,66,60
2011,234030,Virginia Commonwealth University,31627,2,163,202
2012,234030,Virginia Commonwealth University,31445,1,39,80
2013,234030,Virginia Commonwealth University,30974,1,50,100
2014,234030,Virginia Commonwealth University,30848,0,57,101
2001,234076,University of Virginia-Main Campus,22739,0,11,189
2002,234076,University of Virginia-Main Campus,23144,0,4,48
2003,234076,University of Virginia-Main Campus,23077,0,9,13
2004,234076,University of Virginia-Main Campus,23341,0,3,45
2005,234076,University of Virginia-Main Campus,23765,0,0,0
2006,234076,University of Virginia-Main Campus,24068,0,17,30
2007,234076,University of Virginia-Main Campus,24257,0,26,5
2008,234076,University of Virginia-Main Campus,24541,0,18,16
2009,234076,University of Virginia-Main Campus,24355,0,28,8
2010,234076,University of Virginia-Main Campus,24391,0,30,3
2011,234076,University of Virginia-Main Campus,24297,0,35,378
2012,234076,University of Virginia-Main Campus,23907,0,40,308
2013,234076,University of Virginia-Main Campus,23464,0,20,581
2014,234076,University of Virginia-Main Campus,23732,0,29,609
2001,248934,ECPI University,3132,0,0,0
2002,248934,ECPI University,3297,0,0,0
2003,248934,ECPI University,3346,0,0,0
2004,248934,ECPI University,4759,0,0,0
2005,248934,ECPI University,5301,0,0,0
2006,248934,ECPI University,7016,0,0,0
2007,248934,ECPI University,8122,0,0,0
2008,248934,ECPI University,8543,0,0,0
2009,248934,ECPI University,12194,0,0,0
2010,248934,ECPI University,12764,0,0,0
2011,248934,ECPI University,10762,0,0,0
