Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,102368,Troy University,19041,0,0,0
2002,102368,Troy University,19041,0,0,0
2003,102368,Troy University,19041,0,0,0
2004,102368,Troy University,19041,0,0,0
2005,102368,Troy University,19041,0,0,0
2006,102368,Troy University,19041,0,0,0
2007,102368,Troy University,19041,0,0,0
2008,102368,Troy University,19041,0,0,0
2009,102368,Troy University,19041,0,0,0
2010,102368,Troy University,19041,0,0,0
2011,102368,Troy University,19041,0,0,0
2012,102368,Troy University,19041,0,0,0
2013,102368,Troy University,19041,0,0,0
2014,102368,Troy University,19041,0,0,0
2001,131469,George Washington University,25613,0,0,0
2002,131469,George Washington University,25613,0,0,0
2003,131469,George Washington University,25613,0,0,0
2004,131469,George Washington University,25613,0,0,0
2005,131469,George Washington University,25613,0,0,0
2006,131469,George Washington University,25613,0,0,0
2007,131469,George Washington University,25613,0,0,0
2008,131469,George Washington University,25613,0,0,0
2009,131469,George Washington University,25613,0,0,0
2010,131469,George Washington University,25613,0,0,0
2011,131469,George Washington University,25613,0,0,0
2012,131469,George Washington University,25613,0,0,0
2013,131469,George Washington University,25613,0,0,0
2014,131469,George Washington University,25613,0,0,0
2001,137032,Saint Leo University,16349,1,0,0
2002,137032,Saint Leo University,16349,1,0,0
2003,137032,Saint Leo University,16349,1,0,0
2004,137032,Saint Leo University,16349,1,0,0
2005,137032,Saint Leo University,16349,1,0,0
2006,137032,Saint Leo University,16349,1,0,0
2007,137032,Saint Leo University,16349,1,0,0
2008,137032,Saint Leo University,16349,1,0,0
2009,137032,Saint Leo University,16349,1,0,0
2010,137032,Saint Leo University,16349,1,0,0
2011,137032,Saint Leo University,16349,1,0,0
2012,137032,Saint Leo University,16349,1,0,0
2013,137032,Saint Leo University,16349,1,0,0
2014,137032,Saint Leo University,16349,1,0,0
2001,163204,University of Maryland-University College,47906,0,0,0
2002,163204,University of Maryland-University College,47906,0,0,0
2003,163204,University of Maryland-University College,47906,0,0,0
2004,163204,University of Maryland-University College,47906,0,0,0
2005,163204,University of Maryland-University College,47906,0,0,0
2006,163204,University of Maryland-University College,47906,0,0,0
2007,163204,University of Maryland-University College,47906,0,0,0
2008,163204,University of Maryland-University College,47906,0,0,0
2009,163204,University of Maryland-University College,47906,0,0,0
2010,163204,University of Maryland-University College,47906,0,0,0
2011,163204,University of Maryland-University College,47906,0,0,0
2012,163204,University of Maryland-University College,47906,0,0,0
