Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,231174,University of Vermont,10078,0,0,1,0,0,0,0,0,0,2,150,0,9
2002,231174,University of Vermont,10314,0,0,4,0,0,0,0,0,4,0,102,1,2
2003,231174,University of Vermont,10967,0,0,4,0,0,0,0,0,1,2,119,1,6
2004,231174,University of Vermont,10940,0,0,2,0,0,0,0,0,0,2,79,2,5
2005,231174,University of Vermont,11597,0,0,1,0,0,0,0,0,0,2,77,2,7
2006,231174,University of Vermont,11870,0,0,2,0,0,0,0,0,0,3,82,2,1
2007,231174,University of Vermont,12239,0,0,2,0,0,0,0,0,0,0,70,0,0
2008,231174,University of Vermont,12800,0,0,6,0,0,0,0,0,0,0,75,0,3
2009,231174,University of Vermont,13391,0,0,8,0,0,0,0,0,0,2,44,0,1
2010,231174,University of Vermont,13554,0,0,8,0,0,0,0,0,1,1,46,0,2
2011,231174,University of Vermont,13478,0,0,5,0,0,0,0,0,1,0,36,0,4
2012,231174,University of Vermont,13098,0,0,13,0,0,0,0,0,2,2,29,0,2
2013,231174,University of Vermont,12723,0,0,11,0,0,0,0,0,0,1,49,0,4
2014,231174,University of Vermont,12856,0,0,0,27,1,0,0,0,1,6,21,2,1
