Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,231174,University of Vermont,10078,0,309,922
2002,231174,University of Vermont,10314,0,336,840
2003,231174,University of Vermont,10967,0,238,641
2004,231174,University of Vermont,10940,0,168,398
2005,231174,University of Vermont,11597,0,296,419
2006,231174,University of Vermont,11870,0,347,1016
2007,231174,University of Vermont,12239,0,379,1232
2008,231174,University of Vermont,12800,0,496,1345
2009,231174,University of Vermont,13391,0,617,1294
2010,231174,University of Vermont,13554,0,474,1301
2011,231174,University of Vermont,13478,0,482,1196
2012,231174,University of Vermont,13098,0,504,1143
2013,231174,University of Vermont,12723,0,673,1222
2014,231174,University of Vermont,12856,0,344,667
