Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,231174,University of Vermont,12856,5,0,4
2002,231174,University of Vermont,12856,5,0,4
2003,231174,University of Vermont,12856,5,0,4
2004,231174,University of Vermont,12856,5,0,4
2005,231174,University of Vermont,12856,5,0,4
2006,231174,University of Vermont,12856,5,0,4
2007,231174,University of Vermont,12856,5,0,4
2008,231174,University of Vermont,12856,5,0,4
2009,231174,University of Vermont,12856,5,0,4
2010,231174,University of Vermont,12856,5,0,4
2011,231174,University of Vermont,12856,5,0,4
2012,231174,University of Vermont,12856,5,0,4
2013,231174,University of Vermont,12856,5,0,4
2014,231174,University of Vermont,12856,5,0,4
