Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,231174,University of Vermont,10078,162,1231,0,9,1402
2002,231174,University of Vermont,10314,113,1176,0,9,1298
2003,231174,University of Vermont,10967,133,879,0,9,1021
2004,231174,University of Vermont,10940,90,566,0,9,665
2005,231174,University of Vermont,11597,89,715,0,9,813
2006,231174,University of Vermont,11870,90,1363,0,9,1462
2007,231174,University of Vermont,12239,72,1611,0,9,1692
2008,231174,University of Vermont,12800,84,1841,0,9,1934
2009,231174,University of Vermont,13391,55,1911,0,9,1975
2010,231174,University of Vermont,13554,58,1775,0,9,1842
2011,231174,University of Vermont,13478,46,1678,4,9,1737
2012,231174,University of Vermont,13098,48,1647,6,9,1710
2013,231174,University of Vermont,12723,65,1895,2,9,1971
2014,231174,University of Vermont,12856,59,1011,2,9,1081
