Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2014,163204,University of Maryland-University College,47906,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,167358,Northeastern University,19798,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,177065,Columbia College,8564,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,177065,Columbia College,8958,0,0,0,0,0,0,0,0,0,0,1,0,0
2003,177065,Columbia College,10146,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,177065,Columbia College,11017,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,177065,Columbia College,11792,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,177065,Columbia College,12280,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,177065,Columbia College,12954,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,177065,Columbia College,14081,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,177065,Columbia College,15556,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,177065,Columbia College,16962,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,177065,Columbia College,18091,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,177065,Columbia College,17830,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,234669,Bellevue College,11792,0,0,0,0,0,4,0,0,0,0,22,25,1
2002,234669,Bellevue College,12393,0,0,1,0,0,0,0,0,0,1,28,17,2
2003,234669,Bellevue College,12621,0,0,0,0,0,0,0,0,0,7,10,15,1
2004,234669,Bellevue College,12621,0,0,0,0,0,0,0,0,1,2,0,19,0
2005,234669,Bellevue College,12086,0,0,0,0,0,0,0,0,0,0,0,8,1
2006,234669,Bellevue College,12041,0,0,0,0,0,0,0,0,0,0,0,7,0
2007,234669,Bellevue College,12305,0,0,1,0,0,0,0,0,0,0,2,5,0
2008,234669,Bellevue College,13035,0,0,0,0,0,0,0,0,1,0,11,5,0
2009,234669,Bellevue College,14010,0,0,0,0,0,0,0,0,1,1,2,6,0
2010,234669,Bellevue College,14675,0,0,0,0,0,0,0,0,4,0,1,0,0
2011,234669,Bellevue College,14156,0,0,0,0,0,0,0,0,0,0,3,2,1
2012,234669,Bellevue College,13484,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,234669,Bellevue College,13820,0,0,0,0,0,0,0,0,1,1,5,6,0
2014,234669,Bellevue College,13469,0,0,0,1,1,0,0,0,1,0,5,5,0
2001,234827,Central Washington University,8826,0,0,4,0,0,0,0,0,1,0,42,6,3
2002,234827,Central Washington University,9203,0,0,2,0,0,0,0,0,0,0,57,10,2
2003,234827,Central Washington University,9903,0,0,4,0,0,0,0,0,0,4,28,6,3
