Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2014,163204,University of Maryland-University College,47906,0,0,0
2014,167358,Northeastern University,19798,0,0,0
2001,177065,Columbia College,8564,0,0,0
2002,177065,Columbia College,8958,0,0,0
2003,177065,Columbia College,10146,0,0,0
2004,177065,Columbia College,11017,0,0,0
2005,177065,Columbia College,11792,0,0,0
2006,177065,Columbia College,12280,0,0,0
2007,177065,Columbia College,12954,0,0,0
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,234669,Bellevue College,11792,0,0,0
2002,234669,Bellevue College,12393,0,0,0
2003,234669,Bellevue College,12621,0,0,1
2004,234669,Bellevue College,12621,0,0,0
2005,234669,Bellevue College,12086,0,0,0
2006,234669,Bellevue College,12041,0,0,0
2007,234669,Bellevue College,12305,0,0,0
2008,234669,Bellevue College,13035,0,1,0
2009,234669,Bellevue College,14010,0,0,0
2010,234669,Bellevue College,14675,0,6,0
2011,234669,Bellevue College,14156,0,12,3
2012,234669,Bellevue College,13484,0,3,2
2013,234669,Bellevue College,13820,0,0,1
2014,234669,Bellevue College,13469,0,0,0
2001,234827,Central Washington University,8826,0,12,119
2002,234827,Central Washington University,9203,0,25,172
2003,234827,Central Washington University,9903,0,47,162
2004,234827,Central Washington University,9912,0,35,399
2005,234827,Central Washington University,10190,0,81,465
2006,234827,Central Washington University,10688,0,96,715
2007,234827,Central Washington University,10505,0,100,406
2008,234827,Central Washington University,10662,0,117,366
2009,234827,Central Washington University,11357,0,130,541
2010,234827,Central Washington University,11614,0,114,427
2011,234827,Central Washington University,11320,0,162,513
2012,234827,Central Washington University,11268,0,162,375
2013,234827,Central Washington University,11287,0,143,262
2014,234827,Central Washington University,11799,0,170,389
2001,235097,Eastern Washington University,8932,0,2,82
2002,235097,Eastern Washington University,9924,0,10,110
2003,235097,Eastern Washington University,10337,1,9,92
2004,235097,Eastern Washington University,10706,0,15,183
2005,235097,Eastern Washington University,10908,4,9,155
2006,235097,Eastern Washington University,11161,11,9,177
2007,235097,Eastern Washington University,10686,9,1,159
2008,235097,Eastern Washington University,10809,0,29,150
2009,235097,Eastern Washington University,11300,0,77,206
2010,235097,Eastern Washington University,11534,3,55,267
2011,235097,Eastern Washington University,12126,4,40,92
2012,235097,Eastern Washington University,12587,0,22,125
2013,235097,Eastern Washington University,12791,0,11,134
2014,235097,Eastern Washington University,13453,2,39,191
2001,236939,Washington State University,21073,5,47,448
2002,236939,Washington State University,21880,4,107,704
2003,236939,Washington State University,22712,14,96,843
2004,236939,Washington State University,23241,22,136,1020
2005,236939,Washington State University,23544,7,82,674
2006,236939,Washington State University,23655,12,115,580
2007,236939,Washington State University,24396,11,156,836
2008,236939,Washington State University,25352,3,59,808
2009,236939,Washington State University,26101,5,45,808
2010,236939,Washington State University,26308,4,213,639
2011,236939,Washington State University,27329,5,194,805
2012,236939,Washington State University,27679,0,190,863
2013,236939,Washington State University,27642,2,117,442
2014,236939,Washington State University,28686,2,318,299
2001,236948,University of Washington-Seattle Campus,37412,1,71,349
2002,236948,University of Washington-Seattle Campus,39882,0,49,368
2003,236948,University of Washington-Seattle Campus,39135,0,40,402
2004,236948,University of Washington-Seattle Campus,39199,6,45,322
2005,236948,University of Washington-Seattle Campus,39251,0,36,313
2006,236948,University of Washington-Seattle Campus,39524,0,38,371
2007,236948,University of Washington-Seattle Campus,40218,0,57,375
2008,236948,University of Washington-Seattle Campus,39675,0,75,289
2009,236948,University of Washington-Seattle Campus,45943,2,79,405
2010,236948,University of Washington-Seattle Campus,42451,1,76,327
2011,236948,University of Washington-Seattle Campus,42444,0,185,473
2012,236948,University of Washington-Seattle Campus,43485,3,187,539
2013,236948,University of Washington-Seattle Campus,43762,1,259,620
2014,236948,University of Washington-Seattle Campus,44784,0,145,593
2001,237011,Western Washington University,12409,2,120,681
2002,237011,Western Washington University,13865,0,80,614
2003,237011,Western Washington University,13845,6,96,728
2004,237011,Western Washington University,14190,3,76,543
2005,237011,Western Washington University,14247,3,80,525
2006,237011,Western Washington University,14035,7,84,466
2007,237011,Western Washington University,14276,7,98,655
2008,237011,Western Washington University,14620,2,268,401
2009,237011,Western Washington University,14575,0,133,340
2010,237011,Western Washington University,14979,0,83,242
2011,237011,Western Washington University,14842,0,170,248
2012,237011,Western Washington University,14833,0,204,413
2013,237011,Western Washington University,14950,0,181,331
2014,237011,Western Washington University,15060,1,235,387
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
