Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,163204,University of Maryland-University College,47906,0,0,0
2014,167358,Northeastern University,19798,0,0,0
2014,177065,Columbia College,16567,0,0,0
2014,178721,Park University,10792,0,0,0
2014,234669,Bellevue College,13469,0,1,10
2014,234827,Central Washington University,11799,3,6,8
2014,235097,Eastern Washington University,13453,5,1,1
2014,236939,Washington State University,28686,12,0,6
2014,236948,University of Washington-Seattle Campus,44784,18,1,21
2014,237011,Western Washington University,15060,1,1,2
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
