Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2011,152080,University of Notre Dame,12004,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,152080,University of Notre Dame,12126,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,152080,University of Notre Dame,12124,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,152080,University of Notre Dame,12179,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,238263,Madison Area Technical College,14351,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,238263,Madison Area Technical College,15621,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,238263,Madison Area Technical College,13830,0,0,1,0,0,0,0,0,1,0,0,0,0
2004,238263,Madison Area Technical College,13157,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,238263,Madison Area Technical College,14125,0,0,0,0,0,0,0,0,0,0,22,1,0
2006,238263,Madison Area Technical College,14789,0,0,1,0,0,1,0,0,0,0,11,1,0
2007,238263,Madison Area Technical College,14647,0,0,0,0,0,0,0,0,0,0,24,1,0
2008,238263,Madison Area Technical College,14666,0,0,0,0,0,0,0,0,0,0,23,0,0
2009,238263,Madison Area Technical College,16610,0,0,0,0,0,0,0,0,0,0,37,1,0
2010,238263,Madison Area Technical College,17463,0,0,0,0,0,0,0,0,2,0,12,1,0
2011,238263,Madison Area Technical College,16405,0,0,0,0,0,0,0,0,0,0,10,0,0
2012,238263,Madison Area Technical College,16139,0,0,0,0,0,0,0,0,0,0,9,0,0
2013,238263,Madison Area Technical College,15402,0,0,0,0,0,1,0,0,0,0,10,1,0
2014,238263,Madison Area Technical College,16759,0,0,0,0,0,0,0,0,0,1,7,0,0
2001,239105,Marquette University,10832,0,0,4,0,0,1,0,0,2,0,12,11,0
2002,239105,Marquette University,11042,0,0,2,0,0,1,0,0,1,0,2,9,0
2003,239105,Marquette University,11355,0,0,4,0,0,0,0,0,2,0,18,2,0
2004,239105,Marquette University,11510,0,0,2,0,0,0,0,0,1,0,22,2,0
2005,239105,Marquette University,11594,0,0,0,0,0,0,0,0,3,0,25,0,0
