Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2011,152080,University of Notre Dame,12004,0,0,2
2012,152080,University of Notre Dame,12126,0,0,0
2013,152080,University of Notre Dame,12124,0,0,0
2014,152080,University of Notre Dame,12179,0,0,0
2001,238263,Madison Area Technical College,14351,0,0,0
2002,238263,Madison Area Technical College,15621,0,0,1
2003,238263,Madison Area Technical College,13830,0,1,2
2004,238263,Madison Area Technical College,13157,0,2,3
2005,238263,Madison Area Technical College,14125,0,0,0
2006,238263,Madison Area Technical College,14789,0,0,0
2007,238263,Madison Area Technical College,14647,0,0,0
2008,238263,Madison Area Technical College,14666,0,1,0
2009,238263,Madison Area Technical College,16610,0,0,0
2010,238263,Madison Area Technical College,17463,0,3,0
2011,238263,Madison Area Technical College,16405,0,3,1
2012,238263,Madison Area Technical College,16139,1,1,0
2013,238263,Madison Area Technical College,15402,0,3,0
2014,238263,Madison Area Technical College,16759,0,2,0
2001,239105,Marquette University,10832,0,39,511
2002,239105,Marquette University,11042,0,91,604
2003,239105,Marquette University,11355,1,114,593
2004,239105,Marquette University,11510,0,46,690
2005,239105,Marquette University,11594,0,22,971
2006,239105,Marquette University,11548,0,24,985
2007,239105,Marquette University,11516,0,28,824
2008,239105,Marquette University,11633,0,36,884
2009,239105,Marquette University,11689,0,46,805
2010,239105,Marquette University,11806,2,50,866
2011,239105,Marquette University,12002,0,53,1002
2012,239105,Marquette University,11749,0,59,726
2013,239105,Marquette University,11782,1,59,351
2014,239105,Marquette University,11745,0,65,751
2001,240189,University of Wisconsin-Whitewater,10549,5,24,499
2002,240189,University of Wisconsin-Whitewater,10796,0,4,291
2003,240189,University of Wisconsin-Whitewater,10817,1,4,302
2004,240189,University of Wisconsin-Whitewater,10938,0,8,494
2005,240189,University of Wisconsin-Whitewater,10750,4,24,665
2006,240189,University of Wisconsin-Whitewater,10502,2,30,532
2007,240189,University of Wisconsin-Whitewater,10737,2,32,382
2008,240189,University of Wisconsin-Whitewater,10962,10,22,399
