Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,152080,University of Notre Dame,12179,0,0,0
2002,152080,University of Notre Dame,12179,0,0,0
2003,152080,University of Notre Dame,12179,0,0,0
2004,152080,University of Notre Dame,12179,0,0,0
2005,152080,University of Notre Dame,12179,0,0,0
2006,152080,University of Notre Dame,12179,0,0,0
2007,152080,University of Notre Dame,12179,0,0,0
2008,152080,University of Notre Dame,12179,0,0,0
2009,152080,University of Notre Dame,12179,0,0,0
2010,152080,University of Notre Dame,12179,0,0,0
2011,152080,University of Notre Dame,12179,0,0,0
2012,152080,University of Notre Dame,12179,0,0,0
2013,152080,University of Notre Dame,12179,0,0,0
2014,152080,University of Notre Dame,12179,0,0,0
2001,238263,Madison Area Technical College,16759,1,2,7
2002,238263,Madison Area Technical College,16759,1,2,7
2003,238263,Madison Area Technical College,16759,1,2,7
2004,238263,Madison Area Technical College,16759,1,2,7
2005,238263,Madison Area Technical College,16759,1,2,7
2006,238263,Madison Area Technical College,16759,1,2,7
2007,238263,Madison Area Technical College,16759,1,2,7
2008,238263,Madison Area Technical College,16759,1,2,7
2009,238263,Madison Area Technical College,16759,1,2,7
2010,238263,Madison Area Technical College,16759,1,2,7
2011,238263,Madison Area Technical College,16759,1,2,7
2012,238263,Madison Area Technical College,16759,1,2,7
2013,238263,Madison Area Technical College,16759,1,2,7
2014,238263,Madison Area Technical College,16759,1,2,7
2001,239105,Marquette University,11745,2,0,2
2002,239105,Marquette University,11745,2,0,2
2003,239105,Marquette University,11745,2,0,2
2004,239105,Marquette University,11745,2,0,2
2005,239105,Marquette University,11745,2,0,2
2006,239105,Marquette University,11745,2,0,2
2007,239105,Marquette University,11745,2,0,2
2008,239105,Marquette University,11745,2,0,2
2009,239105,Marquette University,11745,2,0,2
2010,239105,Marquette University,11745,2,0,2
2011,239105,Marquette University,11745,2,0,2
2012,239105,Marquette University,11745,2,0,2
2013,239105,Marquette University,11745,2,0,2
2014,239105,Marquette University,11745,2,0,2
2001,240189,University of Wisconsin-Whitewater,12176,0,3,2
2002,240189,University of Wisconsin-Whitewater,12176,0,3,2
2003,240189,University of Wisconsin-Whitewater,12176,0,3,2
2004,240189,University of Wisconsin-Whitewater,12176,0,3,2
2005,240189,University of Wisconsin-Whitewater,12176,0,3,2
2006,240189,University of Wisconsin-Whitewater,12176,0,3,2
2007,240189,University of Wisconsin-Whitewater,12176,0,3,2
2008,240189,University of Wisconsin-Whitewater,12176,0,3,2
2009,240189,University of Wisconsin-Whitewater,12176,0,3,2
2010,240189,University of Wisconsin-Whitewater,12176,0,3,2
2011,240189,University of Wisconsin-Whitewater,12176,0,3,2
2012,240189,University of Wisconsin-Whitewater,12176,0,3,2
2013,240189,University of Wisconsin-Whitewater,12176,0,3,2
2014,240189,University of Wisconsin-Whitewater,12176,0,3,2
2001,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2002,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2003,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2004,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2005,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2006,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2007,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2008,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2009,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2010,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2011,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2012,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2013,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2014,240268,University of Wisconsin-Eau Claire,10721,5,2,3
2001,240329,University of Wisconsin-La Crosse,10669,0,3,4
2002,240329,University of Wisconsin-La Crosse,10669,0,3,4
2003,240329,University of Wisconsin-La Crosse,10669,0,3,4
2004,240329,University of Wisconsin-La Crosse,10669,0,3,4
2005,240329,University of Wisconsin-La Crosse,10669,0,3,4
2006,240329,University of Wisconsin-La Crosse,10669,0,3,4
2007,240329,University of Wisconsin-La Crosse,10669,0,3,4
2008,240329,University of Wisconsin-La Crosse,10669,0,3,4
2009,240329,University of Wisconsin-La Crosse,10669,0,3,4
2010,240329,University of Wisconsin-La Crosse,10669,0,3,4
2011,240329,University of Wisconsin-La Crosse,10669,0,3,4
2012,240329,University of Wisconsin-La Crosse,10669,0,3,4
2013,240329,University of Wisconsin-La Crosse,10669,0,3,4
2014,240329,University of Wisconsin-La Crosse,10669,0,3,4
2001,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2002,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2003,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2004,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2005,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2006,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2007,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2008,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2009,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2010,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2011,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2012,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2013,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2014,240365,University of Wisconsin-Oshkosh,14541,1,9,2
2001,240444,University of Wisconsin-Madison,42598,2,8,23
2002,240444,University of Wisconsin-Madison,42598,2,8,23
2003,240444,University of Wisconsin-Madison,42598,2,8,23
2004,240444,University of Wisconsin-Madison,42598,2,8,23
2005,240444,University of Wisconsin-Madison,42598,2,8,23
2006,240444,University of Wisconsin-Madison,42598,2,8,23
2007,240444,University of Wisconsin-Madison,42598,2,8,23
2008,240444,University of Wisconsin-Madison,42598,2,8,23
2009,240444,University of Wisconsin-Madison,42598,2,8,23
2010,240444,University of Wisconsin-Madison,42598,2,8,23
2011,240444,University of Wisconsin-Madison,42598,2,8,23
2012,240444,University of Wisconsin-Madison,42598,2,8,23
2013,240444,University of Wisconsin-Madison,42598,2,8,23
2014,240444,University of Wisconsin-Madison,42598,2,8,23
2001,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2002,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2003,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2004,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2005,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2006,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2007,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2008,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2009,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2010,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2011,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2012,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2013,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2014,240453,University of Wisconsin-Milwaukee,27596,2,3,3
2001,260901,Kaplan University-Davenport Campus,52018,0,0,0
2002,260901,Kaplan University-Davenport Campus,52018,0,0,0
2003,260901,Kaplan University-Davenport Campus,52018,0,0,0
2004,260901,Kaplan University-Davenport Campus,52018,0,0,0
2005,260901,Kaplan University-Davenport Campus,52018,0,0,0
2006,260901,Kaplan University-Davenport Campus,52018,0,0,0
2007,260901,Kaplan University-Davenport Campus,52018,0,0,0
2008,260901,Kaplan University-Davenport Campus,52018,0,0,0
2009,260901,Kaplan University-Davenport Campus,52018,0,0,0
2010,260901,Kaplan University-Davenport Campus,52018,0,0,0
2011,260901,Kaplan University-Davenport Campus,52018,0,0,0
2012,260901,Kaplan University-Davenport Campus,52018,0,0,0
2013,260901,Kaplan University-Davenport Campus,52018,0,0,0
2014,260901,Kaplan University-Davenport Campus,52018,0,0,0
