Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2011,152080,University of Notre Dame,12004,0,2,0,0,2
2012,152080,University of Notre Dame,12126,0,0,0,0,0
2013,152080,University of Notre Dame,12124,1,0,0,0,1
2014,152080,University of Notre Dame,12179,0,0,0,0,0
2001,238263,Madison Area Technical College,14351,0,0,0,10,10
2002,238263,Madison Area Technical College,15621,1,1,0,10,12
2003,238263,Madison Area Technical College,13830,2,3,0,10,15
2004,238263,Madison Area Technical College,13157,0,5,0,10,15
2005,238263,Madison Area Technical College,14125,23,0,0,10,33
2006,238263,Madison Area Technical College,14789,14,0,0,10,24
2007,238263,Madison Area Technical College,14647,25,0,0,10,35
2008,238263,Madison Area Technical College,14666,23,1,0,10,34
2009,238263,Madison Area Technical College,16610,38,0,0,10,48
2010,238263,Madison Area Technical College,17463,15,3,0,10,28
2011,238263,Madison Area Technical College,16405,10,4,0,10,24
2012,238263,Madison Area Technical College,16139,9,2,0,10,21
2013,238263,Madison Area Technical College,15402,12,3,0,10,25
2014,238263,Madison Area Technical College,16759,8,2,0,10,20
2001,239105,Marquette University,10832,30,550,0,4,584
2002,239105,Marquette University,11042,15,695,0,4,714
2003,239105,Marquette University,11355,26,708,0,4,738
2004,239105,Marquette University,11510,27,736,0,4,767
2005,239105,Marquette University,11594,28,993,0,4,1025
2006,239105,Marquette University,11548,15,1009,0,4,1028
2007,239105,Marquette University,11516,37,852,0,4,893
2008,239105,Marquette University,11633,29,920,0,4,953
2009,239105,Marquette University,11689,25,851,0,4,880
2010,239105,Marquette University,11806,42,918,0,4,964
2011,239105,Marquette University,12002,30,1055,2,4,1091
2012,239105,Marquette University,11749,27,785,0,4,816
2013,239105,Marquette University,11782,26,411,0,4,441
2014,239105,Marquette University,11745,30,816,2,4,852
2001,240189,University of Wisconsin-Whitewater,10549,23,528,0,5,556
2002,240189,University of Wisconsin-Whitewater,10796,31,295,0,5,331
2003,240189,University of Wisconsin-Whitewater,10817,43,307,0,5,355
2004,240189,University of Wisconsin-Whitewater,10938,40,502,0,5,547
