Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,237525,Marshall University,16036,0,0,1,0,0,0,0,0,1,0,0,2,0
2002,237525,Marshall University,16541,0,0,0,0,0,0,0,0,0,0,3,2,0
2003,237525,Marshall University,16353,0,0,0,0,0,0,0,0,2,0,8,2,2
2004,237525,Marshall University,13920,0,0,2,0,0,0,0,0,2,2,9,2,2
2005,237525,Marshall University,13988,0,0,0,0,0,0,0,0,1,1,10,0,0
2006,237525,Marshall University,13936,0,0,1,0,0,0,0,0,1,0,9,0,1
2007,237525,Marshall University,13808,0,0,0,0,0,0,0,0,0,0,8,3,1
2008,237525,Marshall University,13573,0,0,1,0,0,0,0,0,2,1,10,1,0
2009,237525,Marshall University,13776,0,0,1,0,0,0,0,0,3,1,6,0,0
2010,237525,Marshall University,14192,0,0,2,0,0,0,0,0,2,0,2,0,0
2011,237525,Marshall University,13966,0,0,4,0,0,0,0,0,1,1,1,0,0
2012,237525,Marshall University,13708,0,0,0,0,0,0,0,0,1,0,2,0,0
2013,237525,Marshall University,13407,0,0,2,0,0,0,0,0,1,0,5,1,0
2014,237525,Marshall University,13381,0,0,0,1,0,0,0,0,1,0,13,1,1
2001,238032,West Virginia University,22774,0,0,3,0,0,0,0,0,1,2,14,3,4
2002,238032,West Virginia University,23492,0,0,2,0,0,0,0,0,4,4,29,3,7
2003,238032,West Virginia University,24260,0,0,5,0,0,0,0,0,5,5,30,5,3
2004,238032,West Virginia University,25255,0,0,6,0,0,0,0,0,1,8,50,2,8
2005,238032,West Virginia University,26051,0,0,6,0,0,0,0,0,6,8,60,7,3
2006,238032,West Virginia University,27115,0,0,2,0,0,0,0,0,3,2,15,4,1
2007,238032,West Virginia University,28113,0,0,4,0,0,0,0,0,5,9,35,8,0
2008,238032,West Virginia University,28840,0,0,3,0,0,0,0,0,2,11,36,7,0
2009,238032,West Virginia University,28898,0,0,4,0,0,0,0,0,5,9,21,3,2
2010,238032,West Virginia University,29306,0,0,7,0,0,0,0,0,5,2,20,1,3
2011,238032,West Virginia University,29617,0,0,4,0,0,0,0,0,1,7,22,4,1
2012,238032,West Virginia University,29707,0,0,2,0,0,0,0,0,4,2,39,0,1
2013,238032,West Virginia University,29466,0,0,10,0,0,0,0,0,0,3,16,2,1
2014,238032,West Virginia University,29175,0,0,0,4,2,0,0,0,1,3,16,1,3
