Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,237525,Marshall University,16036,1,29,65
2002,237525,Marshall University,16541,0,10,21
2003,237525,Marshall University,16353,0,13,42
2004,237525,Marshall University,13920,0,15,42
2005,237525,Marshall University,13988,1,8,15
2006,237525,Marshall University,13936,2,2,36
2007,237525,Marshall University,13808,1,6,26
2008,237525,Marshall University,13573,0,0,14
2009,237525,Marshall University,13776,0,21,25
2010,237525,Marshall University,14192,1,8,18
2011,237525,Marshall University,13966,0,14,38
2012,237525,Marshall University,13708,2,13,15
2013,237525,Marshall University,13407,2,12,20
2014,237525,Marshall University,13381,3,10,31
2001,238032,West Virginia University,22774,3,29,275
2002,238032,West Virginia University,23492,0,29,473
2003,238032,West Virginia University,24260,0,16,483
2004,238032,West Virginia University,25255,3,59,623
2005,238032,West Virginia University,26051,0,80,857
2006,238032,West Virginia University,27115,0,42,866
2007,238032,West Virginia University,28113,1,43,891
2008,238032,West Virginia University,28840,0,65,1183
2009,238032,West Virginia University,28898,0,37,1231
2010,238032,West Virginia University,29306,1,104,1501
2011,238032,West Virginia University,29617,0,230,1731
2012,238032,West Virginia University,29707,0,277,2446
2013,238032,West Virginia University,29466,4,273,1942
2014,238032,West Virginia University,29175,1,324,1495
