Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,237525,Marshall University,13381,2,1,6
2002,237525,Marshall University,13381,2,1,6
2003,237525,Marshall University,13381,2,1,6
2004,237525,Marshall University,13381,2,1,6
2005,237525,Marshall University,13381,2,1,6
2006,237525,Marshall University,13381,2,1,6
2007,237525,Marshall University,13381,2,1,6
2008,237525,Marshall University,13381,2,1,6
2009,237525,Marshall University,13381,2,1,6
2010,237525,Marshall University,13381,2,1,6
2011,237525,Marshall University,13381,2,1,6
2012,237525,Marshall University,13381,2,1,6
2013,237525,Marshall University,13381,2,1,6
2014,237525,Marshall University,13381,2,1,6
2001,238032,West Virginia University,29175,14,1,10
2002,238032,West Virginia University,29175,14,1,10
2003,238032,West Virginia University,29175,14,1,10
2004,238032,West Virginia University,29175,14,1,10
2005,238032,West Virginia University,29175,14,1,10
2006,238032,West Virginia University,29175,14,1,10
2007,238032,West Virginia University,29175,14,1,10
2008,238032,West Virginia University,29175,14,1,10
2009,238032,West Virginia University,29175,14,1,10
2010,238032,West Virginia University,29175,14,1,10
2011,238032,West Virginia University,29175,14,1,10
2012,238032,West Virginia University,29175,14,1,10
2013,238032,West Virginia University,29175,14,1,10
2014,238032,West Virginia University,29175,14,1,10
