Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,237525,Marshall University,16036,4,95,0,9,108
2002,237525,Marshall University,16541,5,31,0,9,45
2003,237525,Marshall University,16353,14,55,0,9,78
2004,237525,Marshall University,13920,19,57,0,9,85
2005,237525,Marshall University,13988,12,24,0,9,45
2006,237525,Marshall University,13936,12,40,0,9,61
2007,237525,Marshall University,13808,12,33,0,9,54
2008,237525,Marshall University,13573,15,14,0,9,38
2009,237525,Marshall University,13776,11,46,0,9,66
2010,237525,Marshall University,14192,6,27,0,9,42
2011,237525,Marshall University,13966,7,52,0,9,68
2012,237525,Marshall University,13708,3,30,0,9,42
2013,237525,Marshall University,13407,9,34,0,9,52
2014,237525,Marshall University,13381,17,44,0,9,70
2001,238032,West Virginia University,22774,27,307,0,25,359
2002,238032,West Virginia University,23492,49,502,0,25,576
2003,238032,West Virginia University,24260,53,499,1,25,578
2004,238032,West Virginia University,25255,75,685,0,25,785
2005,238032,West Virginia University,26051,90,937,0,25,1052
2006,238032,West Virginia University,27115,27,908,0,25,960
2007,238032,West Virginia University,28113,61,935,0,25,1021
2008,238032,West Virginia University,28840,59,1248,0,25,1332
2009,238032,West Virginia University,28898,44,1268,0,25,1337
2010,238032,West Virginia University,29306,38,1606,0,25,1669
2011,238032,West Virginia University,29617,39,1961,8,25,2033
2012,238032,West Virginia University,29707,48,2723,0,25,2796
2013,238032,West Virginia University,29466,32,2219,0,25,2276
2014,238032,West Virginia University,29175,30,1820,0,25,1875
