Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,240727,University of Wyoming,12366,0,0,2,0,0,0,0,0,0,2,29,3,0
2002,240727,University of Wyoming,12745,0,0,2,0,0,0,0,0,0,0,43,0,0
2003,240727,University of Wyoming,13130,0,0,1,0,0,0,0,0,0,0,35,0,3
2004,240727,University of Wyoming,13207,0,0,2,0,0,0,0,0,0,0,32,0,1
2005,240727,University of Wyoming,13126,0,0,3,0,0,0,0,0,0,0,46,4,0
2006,240727,University of Wyoming,13203,0,0,9,0,0,0,0,0,0,0,47,3,0
2007,240727,University of Wyoming,12875,0,0,4,0,0,1,0,0,0,0,19,3,2
2008,240727,University of Wyoming,12067,0,0,2,0,0,0,0,0,0,0,41,0,1
2009,240727,University of Wyoming,12427,0,0,1,0,0,0,0,0,0,0,26,1,3
2010,240727,University of Wyoming,12911,0,0,9,0,0,0,0,0,0,0,51,0,1
2011,240727,University of Wyoming,12925,0,0,7,0,0,0,0,0,0,0,13,0,0
2012,240727,University of Wyoming,12903,0,0,5,0,0,0,0,0,0,1,23,1,0
2013,240727,University of Wyoming,12778,0,0,15,0,0,0,0,0,0,1,16,3,0
2014,240727,University of Wyoming,12820,0,0,0,9,0,0,0,0,0,0,19,4,0
