Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,240727,University of Wyoming,12366,0,9,68
2002,240727,University of Wyoming,12745,0,2,32
2003,240727,University of Wyoming,13130,8,1,49
2004,240727,University of Wyoming,13207,0,2,65
2005,240727,University of Wyoming,13126,0,12,70
2006,240727,University of Wyoming,13203,0,4,129
2007,240727,University of Wyoming,12875,0,4,39
2008,240727,University of Wyoming,12067,0,3,59
2009,240727,University of Wyoming,12427,0,7,99
2010,240727,University of Wyoming,12911,0,17,92
2011,240727,University of Wyoming,12925,0,18,80
2012,240727,University of Wyoming,12903,2,18,70
2013,240727,University of Wyoming,12778,0,28,47
2014,240727,University of Wyoming,12820,1,15,29
