Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,240727,University of Wyoming,12820,7,0,22
2002,240727,University of Wyoming,12820,7,0,22
2003,240727,University of Wyoming,12820,7,0,22
2004,240727,University of Wyoming,12820,7,0,22
2005,240727,University of Wyoming,12820,7,0,22
2006,240727,University of Wyoming,12820,7,0,22
2007,240727,University of Wyoming,12820,7,0,22
2008,240727,University of Wyoming,12820,7,0,22
2009,240727,University of Wyoming,12820,7,0,22
2010,240727,University of Wyoming,12820,7,0,22
2011,240727,University of Wyoming,12820,7,0,22
2012,240727,University of Wyoming,12820,7,0,22
2013,240727,University of Wyoming,12820,7,0,22
2014,240727,University of Wyoming,12820,7,0,22
