Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,178721,Park University,9482,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0
2001,240727,University of Wyoming,12366,36,77,0,29,142
2002,240727,University of Wyoming,12745,45,34,0,29,108
2003,240727,University of Wyoming,13130,39,58,0,29,126
2004,240727,University of Wyoming,13207,35,67,0,29,131
2005,240727,University of Wyoming,13126,53,82,0,29,164
2006,240727,University of Wyoming,13203,59,133,1,29,222
2007,240727,University of Wyoming,12875,29,43,0,29,101
2008,240727,University of Wyoming,12067,44,62,0,29,135
2009,240727,University of Wyoming,12427,31,106,0,29,166
2010,240727,University of Wyoming,12911,61,109,2,29,201
2011,240727,University of Wyoming,12925,20,98,2,29,149
2012,240727,University of Wyoming,12903,30,90,0,29,149
2013,240727,University of Wyoming,12778,35,75,2,29,141
2014,240727,University of Wyoming,12820,32,45,2,29,108
